[INFO ] 2016-06-16 15:16:50,201 Webq.Element.ElementPageOrderDetails - Webq.Element.ElementPageOrderDetails: ########
[INFO ] 2016-06-16 15:16:56,338 Webq.Element.ElementPageOrderDetails - Webq.Element.ElementPageOrderDetails: ########
[INFO ] 2016-06-16 15:16:56,339 Webq.Element.ElementPageOrderDetails - Webq.Element.ElementPageOrderDetails: 元素名称是：  .//*[@id='btnDialogBySHFConfirm']
[INFO ] 2016-06-16 15:16:56,339 Webq.Element.ElementPageOrderDetails - Webq.Element.ElementPageOrderDetails: ########
[INFO ] 2016-06-16 15:16:59,417 Webq.Element.ElementPageOrderDetails - Webq.Element.ElementPageOrderDetails: ########
[INFO ] 2016-06-16 15:16:59,417 Webq.Element.ElementPageOrderDetails - Webq.Element.ElementPageOrderDetails: 元素名称是：已取消  .//*[@id='orderStatus']
[INFO ] 2016-06-16 15:16:59,417 Webq.Element.ElementPageOrderDetails - Webq.Element.ElementPageOrderDetails: ########
[INFO ] 2016-06-16 15:16:59,434 Webq.utils.TestNGListener - Webq.utils.TestNGListener: Test Success
[INFO ] 2016-06-16 15:16:59,438 Webq.Case.TestStoreWebq - Webq.Case.TestStoreWebq: Stop WebDriver
[INFO ] 2016-06-16 15:17:00,146 Webq.utils.TestNGListener - Webq.utils.TestNGListener: Test Finish
[INFO ] 2016-06-16 15:17:00,147 Webq.utils.TestNGListener - Webq.utils.TestNGListener: PassedTests = actionCartSubCancleOrder
