[INFO ] 2016-11-16 11:47:59,716 Webq.Case.CaseWAP - Webq.Case.CaseWAP: Start WebDriver
[INFO ] 2016-11-16 11:48:00,267 Webq.utils.TestNGListener - Webq.utils.TestNGListener: Test Start
[INFO ] 2016-11-16 11:48:00,284 Webq.utils.TestNGListener - Webq.utils.TestNGListener: Test Finsh
[DEBUG] 2016-11-16 11:48:00,293 Webq.Page.PageLoginWap - Webq.Page.PageLoginWap: Webq.Page.PageLoginWap
[INFO ] 2016-11-16 11:48:00,294 Webq.Page.PageLoginWap - Webq.Page.PageLoginWap: /Users/700sfriend/Desktop/work/MyDEV/workspace-sts-3.7.1.RELEASE/iQaWebq/target
[INFO ] 2016-11-16 11:48:00,295 Webq.Page.PageLoginWap - Webq.Page.PageLoginWap: /Users/700sfriend/Desktop/work/MyDEV/workspace-sts-3.7.1.RELEASE/iQaWebq/target/src/main/java/Webq/Page/PageLoginWap.xml
[INFO ] 2016-11-16 11:48:00,297 Webq.utils.xmlUtils - Webq.utils.xmlUtils: Webq.Page.PageLoginWap
[ERROR] 2016-11-16 11:48:00,298 Webq.utils.xmlUtils - Webq.utils.xmlUtils: Can't find /Users/700sfriend/Desktop/work/MyDEV/workspace-sts-3.7.1.RELEASE/iQaWebq/target/src/main/java/Webq/Page/PageLoginWap.xml
[ERROR] 2016-11-16 11:48:00,300 Webq.utils.TestNGListener - Webq.utils.TestNGListener: Test Failure
[INFO ] 2016-11-16 11:48:00,322 Webq.Case.CaseWAP - Webq.Case.CaseWAP: /Users/700sfriend/Desktop/work/MyDEV/workspace-sts-3.7.1.RELEASE/iQaWebq/target
[INFO ] 2016-11-16 11:48:00,600 Webq.Case.CaseWAP - Webq.Case.CaseWAP: save snapshot path is:/Users/700sfriend/Desktop/work/MyDEV/workspace-sts-3.7.1.RELEASE/iQaWebq/targetCaseWAP_2016_11_16_11_48_00.png
[INFO ] 2016-11-16 11:48:00,623 Webq.Case.CaseWAP - Webq.Case.CaseWAP: screen shot finished
[INFO ] 2016-11-16 11:48:00,643 Webq.utils.TestNGListener - Webq.utils.TestNGListener: Test Finsh
[INFO ] 2016-11-16 11:48:02,107 Webq.Page.PageAd - Webq.Page.PageAd: #############################################
[INFO ] 2016-11-16 11:48:02,108 Webq.Page.PageAd - Webq.Page.PageAd: http://webq.700paper.cn/wap/meishuguan
[INFO ] 2016-11-16 11:48:02,108 Webq.Page.PageAd - Webq.Page.PageAd: #############################################
[ERROR] 2016-11-16 11:48:02,452 Webq.utils.TestNGListener - Webq.utils.TestNGListener: Test Failure
[INFO ] 2016-11-16 11:48:02,479 Webq.Case.CaseWAP - Webq.Case.CaseWAP: /Users/700sfriend/Desktop/work/MyDEV/workspace-sts-3.7.1.RELEASE/iQaWebq/target
[INFO ] 2016-11-16 11:48:02,903 Webq.Case.CaseWAP - Webq.Case.CaseWAP: save snapshot path is:/Users/700sfriend/Desktop/work/MyDEV/workspace-sts-3.7.1.RELEASE/iQaWebq/targetCaseWAP_2016_11_16_11_48_02.png
[INFO ] 2016-11-16 11:48:02,905 Webq.Case.CaseWAP - Webq.Case.CaseWAP: screen shot finished
[INFO ] 2016-11-16 11:48:02,917 Webq.utils.TestNGListener - Webq.utils.TestNGListener: Test Finsh
[INFO ] 2016-11-16 11:48:04,121 Webq.Page.PageAd - Webq.Page.PageAd: #############################################
[INFO ] 2016-11-16 11:48:04,122 Webq.Page.PageAd - Webq.Page.PageAd: http://webq.700paper.cn/wap/meishuguan
[INFO ] 2016-11-16 11:48:04,123 Webq.Page.PageAd - Webq.Page.PageAd: #############################################
[ERROR] 2016-11-16 11:48:04,313 Webq.utils.TestNGListener - Webq.utils.TestNGListener: Test Failure
[INFO ] 2016-11-16 11:48:04,547 Webq.Case.CaseWAP - Webq.Case.CaseWAP: /Users/700sfriend/Desktop/work/MyDEV/workspace-sts-3.7.1.RELEASE/iQaWebq/target
[INFO ] 2016-11-16 11:48:05,207 Webq.Case.CaseWAP - Webq.Case.CaseWAP: save snapshot path is:/Users/700sfriend/Desktop/work/MyDEV/workspace-sts-3.7.1.RELEASE/iQaWebq/targetCaseWAP_2016_11_16_11_48_04.png
[INFO ] 2016-11-16 11:48:05,213 Webq.Case.CaseWAP - Webq.Case.CaseWAP: screen shot finished
[INFO ] 2016-11-16 11:48:05,220 Webq.utils.TestNGListener - Webq.utils.TestNGListener: Test Finsh
[INFO ] 2016-11-16 11:48:05,221 Webq.utils.TestNGListener - Webq.utils.TestNGListener: Test Success
[INFO ] 2016-11-16 11:48:05,228 Webq.utils.TestNGListener - Webq.utils.TestNGListener: Test Finish
[INFO ] 2016-11-16 11:48:05,230 Webq.utils.TestNGListener - Webq.utils.TestNGListener: PassedTests = TestWap4
[INFO ] 2016-11-16 11:48:05,231 Webq.utils.TestNGListener - Webq.utils.TestNGListener: failedTest = TestWap2
[INFO ] 2016-11-16 11:48:05,231 Webq.utils.TestNGListener - Webq.utils.TestNGListener: failedTest = TestWap1
[INFO ] 2016-11-16 11:48:05,232 Webq.utils.TestNGListener - Webq.utils.TestNGListener: failedTest = TestWap3
[INFO ] 2016-11-16 11:48:05,377 Webq.Case.CaseWAP - Webq.Case.CaseWAP: Stop WebDriver
[INFO ] 2016-11-16 11:48:05,745 Webq.Case.CaseWebq - Webq.Case.CaseWebq: Start WebDriver
[INFO ] 2016-11-16 11:48:06,202 Webq.utils.TestNGListener - Webq.utils.TestNGListener: Test Start
[INFO ] 2016-11-16 11:48:06,206 Webq.utils.TestNGListener - Webq.utils.TestNGListener: Test Finsh
[DEBUG] 2016-11-16 11:48:06,210 Webq.Page.PageLogin - Webq.Page.PageLogin: Webq.Page.PageLogin
[INFO ] 2016-11-16 11:48:06,211 Webq.Page.PageLogin - Webq.Page.PageLogin: /Users/700sfriend/Desktop/work/MyDEV/workspace-sts-3.7.1.RELEASE/iQaWebq/target
[INFO ] 2016-11-16 11:48:06,212 Webq.Page.PageLogin - Webq.Page.PageLogin: /Users/700sfriend/Desktop/work/MyDEV/workspace-sts-3.7.1.RELEASE/iQaWebq/target/src/main/java/Webq/Page/PageLogin.xml
[INFO ] 2016-11-16 11:48:06,213 Webq.utils.xmlUtils - Webq.utils.xmlUtils: Webq.Page.PageLogin
[ERROR] 2016-11-16 11:48:06,214 Webq.utils.xmlUtils - Webq.utils.xmlUtils: Can't find /Users/700sfriend/Desktop/work/MyDEV/workspace-sts-3.7.1.RELEASE/iQaWebq/target/src/main/java/Webq/Page/PageLogin.xml
[ERROR] 2016-11-16 11:48:06,216 Webq.utils.TestNGListener - Webq.utils.TestNGListener: Test Failure
[INFO ] 2016-11-16 11:48:06,228 Webq.Case.CaseWebq - Webq.Case.CaseWebq: /Users/700sfriend/Desktop/work/MyDEV/workspace-sts-3.7.1.RELEASE/iQaWebq/target
[INFO ] 2016-11-16 11:48:06,402 Webq.Case.CaseWebq - Webq.Case.CaseWebq: save snapshot path is:/Users/700sfriend/Desktop/work/MyDEV/workspace-sts-3.7.1.RELEASE/iQaWebq/targetCaseWebq_2016_11_16_11_48_06.png
[INFO ] 2016-11-16 11:48:06,404 Webq.Case.CaseWebq - Webq.Case.CaseWebq: screen shot finished
[INFO ] 2016-11-16 11:48:06,407 Webq.utils.TestNGListener - Webq.utils.TestNGListener: Test Finsh
[INFO ] 2016-11-16 11:48:06,658 Webq.Page.PageAd - Webq.Page.PageAd: #############################################
[INFO ] 2016-11-16 11:48:06,659 Webq.Page.PageAd - Webq.Page.PageAd: http://webq.700paper.cn/meishuguan
[INFO ] 2016-11-16 11:48:06,659 Webq.Page.PageAd - Webq.Page.PageAd: #############################################
[ERROR] 2016-11-16 11:48:07,060 Webq.utils.TestNGListener - Webq.utils.TestNGListener: Test Failure
[INFO ] 2016-11-16 11:48:07,104 Webq.Case.CaseWebq - Webq.Case.CaseWebq: /Users/700sfriend/Desktop/work/MyDEV/workspace-sts-3.7.1.RELEASE/iQaWebq/target
[INFO ] 2016-11-16 11:48:07,640 Webq.Case.CaseWebq - Webq.Case.CaseWebq: save snapshot path is:/Users/700sfriend/Desktop/work/MyDEV/workspace-sts-3.7.1.RELEASE/iQaWebq/targetCaseWebq_2016_11_16_11_48_07.png
[INFO ] 2016-11-16 11:48:07,641 Webq.Case.CaseWebq - Webq.Case.CaseWebq: screen shot finished
[INFO ] 2016-11-16 11:48:07,645 Webq.utils.TestNGListener - Webq.utils.TestNGListener: Test Finsh
[INFO ] 2016-11-16 11:48:07,797 Webq.Page.PageAd - Webq.Page.PageAd: #############################################
[INFO ] 2016-11-16 11:48:07,798 Webq.Page.PageAd - Webq.Page.PageAd: http://webq.700paper.cn/meishuguan
[INFO ] 2016-11-16 11:48:07,799 Webq.Page.PageAd - Webq.Page.PageAd: #############################################
[ERROR] 2016-11-16 11:48:07,968 Webq.utils.TestNGListener - Webq.utils.TestNGListener: Test Failure
[INFO ] 2016-11-16 11:48:08,192 Webq.Case.CaseWebq - Webq.Case.CaseWebq: /Users/700sfriend/Desktop/work/MyDEV/workspace-sts-3.7.1.RELEASE/iQaWebq/target
[INFO ] 2016-11-16 11:48:08,534 Webq.Case.CaseWebq - Webq.Case.CaseWebq: save snapshot path is:/Users/700sfriend/Desktop/work/MyDEV/workspace-sts-3.7.1.RELEASE/iQaWebq/targetCaseWebq_2016_11_16_11_48_08.png
[INFO ] 2016-11-16 11:48:08,535 Webq.Case.CaseWebq - Webq.Case.CaseWebq: screen shot finished
[INFO ] 2016-11-16 11:48:08,540 Webq.utils.TestNGListener - Webq.utils.TestNGListener: Test Finsh
[INFO ] 2016-11-16 11:48:08,541 Webq.utils.TestNGListener - Webq.utils.TestNGListener: Test Success
[INFO ] 2016-11-16 11:48:08,542 Webq.utils.TestNGListener - Webq.utils.TestNGListener: Test Finish
[INFO ] 2016-11-16 11:48:08,542 Webq.utils.TestNGListener - Webq.utils.TestNGListener: PassedTests = TestWebq4
[INFO ] 2016-11-16 11:48:08,543 Webq.utils.TestNGListener - Webq.utils.TestNGListener: failedTest = TestWebq3
[INFO ] 2016-11-16 11:48:08,543 Webq.utils.TestNGListener - Webq.utils.TestNGListener: failedTest = TestWebq1
[INFO ] 2016-11-16 11:48:08,544 Webq.utils.TestNGListener - Webq.utils.TestNGListener: failedTest = TestWebq2
[INFO ] 2016-11-16 11:48:08,576 Webq.Case.CaseWebq - Webq.Case.CaseWebq: Stop WebDriver
